         6384841 function calls (6246808 primitive calls) in 1127.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2214/1    0.018    0.000 1127.108 1127.108 {built-in method builtins.exec}
        1    4.179    4.179 1127.108 1127.108 sdf.py:15(<module>)
      100  716.429    7.164  716.432    7.164 sdf.py:317(merge_sdf_volumes_min)
      100  191.312    1.913  209.127    2.091 sdf.py:61(SDF_triangle)
      100  175.824    1.758  195.612    1.956 sdf.py:249(SDF_linesegment)
    17800    2.335    0.000   36.967    0.002 sdf.py:30(get_valid_neighbors)
170194/80341    0.222    0.000   34.806    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    17800    0.010    0.000   34.279    0.002 <__array_function__ internals>:2(unique)
    17800    0.092    0.000   34.252    0.002 arraysetops.py:138(unique)
    17800    0.522    0.000   33.481    0.002 arraysetops.py:310(_unique1d)
    17800   32.863    0.002   32.863    0.002 {method 'sort' of 'numpy.ndarray' objects}
   1712/6    0.004    0.000    1.756    0.293 <frozen importlib._bootstrap>:978(_find_and_load)
   1707/6    0.003    0.000    1.756    0.293 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   1658/7    0.004    0.000    1.756    0.251 <frozen importlib._bootstrap>:663(_load_unlocked)
   2255/8    0.001    0.000    1.755    0.219 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   1450/6    0.002    0.000    1.754    0.292 <frozen importlib._bootstrap_external>:722(exec_module)
   716/70    0.001    0.000    1.586    0.023 {built-in method builtins.__import__}
6473/2676    0.003    0.000    1.436    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
4785/3444    0.073    0.000    0.840    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.816    0.816 pyplot.py:32(<module>)
       83    0.001    0.000    0.770    0.009 __init__.py:1(<module>)
       12    0.000    0.000    0.669    0.056 __init__.py:3(<module>)
      101    0.000    0.000    0.508    0.005 artist.py:128(_update_set_signature_and_docstring)
      100    0.000    0.000    0.504    0.005 artist.py:104(__init_subclass__)
        1    0.000    0.000    0.352    0.352 figure.py:15(<module>)
    17800    0.306    0.000    0.344    0.000 TrabeculaeVoronoi.py:580(convertArray2Abs)
    35600    0.016    0.000    0.340    0.000 <__array_function__ internals>:2(moveaxis)
        1    0.000    0.000    0.336    0.336 __init__.py:53(<module>)
      114    0.000    0.000    0.333    0.003 artist.py:1730(kwdoc)
    30936    0.051    0.000    0.304    0.000 fromnumeric.py:70(_wrapreduction)
    35600    0.093    0.000    0.303    0.000 numeric.py:1404(moveaxis)
    33103    0.016    0.000    0.287    0.000 inspect.py:594(getdoc)
    18000    0.011    0.000    0.282    0.000 <__array_function__ internals>:2(vstack)
        1    0.000    0.000    0.281    0.281 config.py:1(<module>)
    32050    0.161    0.000    0.269    0.000 inspect.py:613(cleandoc)
        1    0.000    0.000    0.263    0.263 colorbar.py:12(<module>)
        4    0.000    0.000    0.261    0.065 __init__.py:15(<module>)
      216    0.017    0.000    0.253    0.001 artist.py:1422(get_setters)
    27386    0.010    0.000    0.250    0.000 artist.py:1441(is_alias)
    18000    0.020    0.000    0.244    0.000 shape_base.py:223(vstack)
        1    0.000    0.000    0.234    0.234 dylib.py:1(<module>)
    31136    0.234    0.000    0.234    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.234    0.234 ffi.py:1(<module>)
      114    0.003    0.000    0.233    0.002 artist.py:1491(pprint_setters)
        1    0.000    0.000    0.231    0.231 TrabeculaeVoronoi.py:10(<module>)
    17800    0.028    0.000    0.218    0.000 arraysetops.py:297(reshape_uniq)
    13100    0.007    0.000    0.205    0.000 <__array_function__ internals>:2(sum)
    13100    0.015    0.000    0.192    0.000 fromnumeric.py:2111(sum)
        2    0.000    0.000    0.191    0.095 __init__.py:3225(_call_aside)
        1    0.000    0.000    0.191    0.191 __init__.py:3242(_initialize_master_working_set)
      216    0.000    0.000    0.188    0.001 artist.py:1327(__init__)
        1    0.000    0.000    0.188    0.188 _subplots.py:1(<module>)
      216    0.009    0.000    0.188    0.001 artist.py:1347(get_aliases)
        1    0.000    0.000    0.178    0.178 _axes.py:1(<module>)
     1450    0.006    0.000    0.177    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        8    0.000    0.000    0.168    0.021 __init__.py:109(import_module)
      9/8    0.000    0.000    0.168    0.021 <frozen importlib._bootstrap>:994(_gcd_import)
        2    0.000    0.000    0.167    0.084 __init__.py:6(<module>)
        1    0.000    0.000    0.167    0.167 pyplot.py:206(switch_backend)
        1    0.000    0.000    0.167    0.167 pyplot.py:267(backend_mod)
        1    0.000    0.000    0.167    0.167 backend_inline.py:1(<module>)
    17800    0.010    0.000    0.165    0.000 <__array_function__ internals>:2(prod)
    71200    0.101    0.000    0.152    0.000 numeric.py:1341(normalize_axis_tuple)
        1    0.000    0.000    0.150    0.150 embed.py:4(<module>)
     8338    0.006    0.000    0.149    0.000 re.py:273(_compile)
    17800    0.016    0.000    0.146    0.000 fromnumeric.py:2912(prod)
     9224    0.003    0.000    0.143    0.000 inspect.py:3081(signature)
     1450    0.002    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
9895/9357    0.022    0.000    0.140    0.000 inspect.py:2198(_signature_from_callable)
     9224    0.003    0.000    0.140    0.000 inspect.py:2829(from_callable)
      434    0.001    0.000    0.139    0.000 sre_compile.py:759(compile)
     1450    0.137    0.000    0.137    0.000 {built-in method marshal.loads}
       18    0.000    0.000    0.135    0.007 __init__.py:596(add_entry)
        1    0.000    0.000    0.134    0.134 contour.py:3(<module>)
1658/1629    0.002    0.000    0.129    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      906    0.001    0.000    0.129    0.000 __init__.py:2032(find_on_path)
      448    0.000    0.000    0.127    0.000 re.py:234(compile)
        1    0.000    0.000    0.121    0.121 __init__.py:439(<module>)
        1    0.000    0.000    0.118    0.118 collections.py:10(<module>)
    18000    0.008    0.000    0.116    0.000 <__array_function__ internals>:2(atleast_2d)
        1    0.000    0.000    0.113    0.113 stats.py:28(<module>)
        1    0.000    0.000    0.110    0.110 interactiveshell.py:1(<module>)
        1    0.000    0.000    0.110    0.110 backend_bases.py:26(<module>)
        1    0.000    0.000    0.108    0.108 distributions.py:8(<module>)
    18161    0.010    0.000    0.105    0.000 <__array_function__ internals>:2(concatenate)
    39847    0.026    0.000    0.101    0.000 {built-in method builtins.sorted}
    18000    0.051    0.000    0.101    0.000 shape_base.py:82(atleast_2d)
        1    0.000    0.000    0.100    0.100 __init__.py:82(<module>)
        6    0.000    0.000    0.098    0.016 __init__.py:7(<module>)
  195/173    0.000    0.000    0.098    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
  195/173    0.095    0.000    0.097    0.001 {built-in method _imp.create_dynamic}
     9246    0.035    0.000    0.094    0.000 inspect.py:2117(_signature_from_function)
        1    0.000    0.000    0.093    0.093 widgets.py:10(<module>)
        1    0.000    0.000    0.090    0.090 patches.py:3(<module>)
     4000    0.007    0.000    0.089    0.000 artist.py:1375(get_valid_values)
        1    0.000    0.000    0.088    0.088 charts.py:1(<module>)
   197914    0.085    0.000    0.085    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.084    0.084 rcsetup.py:14(<module>)
      434    0.001    0.000    0.083    0.000 sre_parse.py:913(parse)
     3961    0.018    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.082    0.082 _vtk.py:9(<module>)
 1352/434    0.004    0.000    0.081    0.000 sre_parse.py:411(_parse_sub)
 3989/457    0.028    0.000    0.080    0.000 sre_parse.py:469(_parse)
        1    0.000    0.000    0.080    0.080 axes3d.py:11(<module>)
       14    0.000    0.000    0.077    0.006 __init__.py:2006(_by_version_descending)
    17835    0.014    0.000    0.074    0.000 numeric.py:148(ones)
    17800    0.073    0.000    0.073    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.072    0.072 fontconfig_pattern.py:6(<module>)
        1    0.000    0.000    0.071    0.071 __init__.py:95(<module>)
        1    0.000    0.000    0.070    0.070 __init__.py:554(_build_master)
        1    0.000    0.000    0.070    0.070 __init__.py:541(__init__)
        1    0.000    0.000    0.070    0.070 __init__.py:69(<module>)
   114813    0.068    0.000    0.069    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.068    0.011 __init__.py:9(<module>)
